table_name , partition_name ,subpartition_name , num_rows , sample_size , last_analyzed , global_stats , stale_stats
ATTACHMENT,,,0,0,09-MAY-17,YES,NO
AUDITTASKIMPL,,,0,0,09-MAY-17,YES,NO
BAMTASKSUMMARY,,,0,0,09-MAY-17,YES,NO
BOOLEANEXPRESSION,,,0,0,09-MAY-17,YES,NO
CONTENT,,,0,0,09-MAY-17,YES,NO
CONTEXTMAPPINGINFO,,,0,0,09-MAY-17,YES,NO
CORRELATIONKEYINFO,,,0,0,09-MAY-17,YES,NO
CORRELATIONPROPERTYINFO,,,0,0,09-MAY-17,YES,NO
DEADLINE,,,0,0,09-MAY-17,YES,NO
DELEGATION_DELEGATES,,,0,0,09-MAY-17,YES,NO
DEPLOYMENTSTORE,,,1,1,15-MAR-18,YES,NO
EMAIL_HEADER,,,0,0,09-MAY-17,YES,NO
ERRORINFO,,,0,0,09-MAY-17,YES,NO
ESCALATION,,,0,0,09-MAY-17,YES,NO
EVENTTYPES,,,0,0,09-MAY-17,YES,NO
FT_ALGO_RPRO,,,0,0,09-MAY-17,YES,NO
FT_BAK_MMTL,,,0,0,09-MAY-17,YES,NO
FT_BE_BCFP,,,4166,4166,08-MAR-18,YES,NO
FT_BE_BDEF,,,80,80,08-MAR-18,YES,NO
FT_BE_BECF,,,200,200,08-MAR-18,YES,NO
FT_BE_BECL,,,0,0,09-MAY-17,YES,NO
FT_BE_BECM,,,23,23,08-MAR-18,YES,NO
FT_BE_BECP,,,23,23,08-MAR-18,YES,NO
FT_BE_BEDC,,,11,11,08-MAR-18,YES,NO
FT_BE_BEGC,,,21,21,05-MAR-18,YES,NO
FT_BE_BEPO,,,7,7,08-MAR-18,YES,NO
FT_BE_BEPP,,,13,13,08-MAR-18,YES,NO
FT_BE_BERC,,,94,94,08-MAR-18,YES,NO
FT_BE_BERL,,,121,121,08-MAR-18,YES,NO
FT_BE_BERM,,,212,212,08-MAR-18,YES,NO
FT_BE_BETC,,,0,0,09-MAY-17,YES,NO
FT_BE_BETD,,,37,37,05-MAR-18,YES,NO
FT_BE_BFCF,,,74,74,15-MAR-18,YES,NO
FT_BE_BFCL,,,0,0,09-MAY-17,YES,NO
FT_BE_BFDC,,,24,24,08-MAR-18,YES,NO
FT_BE_BFDF,,,3673,3673,08-MAR-18,YES,NO
FT_BE_BFDV,,,27,27,08-MAR-18,YES,NO
FT_BE_BFVD,,,0,0,08-JUN-17,YES,NO
FT_BE_BFVS,,,0,0,09-MAY-17,YES,NO
FT_BE_BNKD,,,195,195,08-MAR-18,YES,NO
FT_BE_BNKP,,,375,375,08-MAR-18,YES,NO
FT_BE_BREP,,,393,393,15-MAR-18,YES,NO
FT_BE_BVSH,,,0,0,09-MAY-17,YES,NO
FT_BE_DGDF,,,452,452,08-MAR-18,YES,NO
FT_BE_DGDP,,,4334,4334,08-MAR-18,YES,NO
FT_BE_DGMP,,,0,0,09-MAY-17,YES,NO
FT_BE_DGSC,,,86,86,08-MAR-18,YES,NO
FT_BE_DMPT,,,3970,3970,08-MAR-18,YES,NO
FT_BE_OCDF,,,1449,1449,08-MAR-18,YES,NO
FT_BE_OCFP,,,4945,4945,05-MAR-18,YES,NO
FT_BE_OCFV,,,2188,2188,08-MAR-18,YES,NO
FT_BE_OCOP,,,2030,2030,08-MAR-18,YES,NO
FT_BE_OCRL,,,408,408,15-MAR-18,YES,NO
FT_BE_VSCF,,,0,0,09-MAY-17,YES,NO
FT_CFG_AOCD,,,0,0,09-MAY-17,YES,NO
FT_CFG_AOCP,,,0,0,09-MAY-17,YES,NO
FT_CFG_AOCV,,,0,0,09-MAY-17,YES,NO
FT_CFG_AOFD,,,3,3,08-MAR-18,YES,NO
FT_CFG_AOFI,,,4,4,08-MAR-18,YES,NO
FT_CFG_AOFP,,,56,56,08-MAR-18,YES,NO
FT_CFG_BEFL,,,108,108,08-MAR-18,YES,NO
FT_CFG_BSFD,,,51,51,05-MAR-18,YES,NO
FT_CFG_CHCD,,,4,4,09-MAY-17,YES,NO
FT_CFG_CHPD,,,4,4,09-MAY-17,YES,NO
FT_CFG_ECFG,,,3,3,05-MAR-18,YES,NO
FT_CFG_GSHA,,,55,55,08-MAR-18,YES,NO
FT_CFG_MDAF,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDAP,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDCD,,,7,7,09-MAY-17,YES,NO
FT_CFG_MDFP,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDLD,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDPF,,,61,61,09-MAY-17,YES,NO
FT_CFG_MDPG,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDPP,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDPV,,,0,0,09-MAY-17,YES,NO
FT_CFG_MDTD,,,16,16,09-MAY-17,YES,NO
FT_CFG_MEGP,,,0,0,09-MAY-17,YES,NO
FT_CFG_MEGR,,,0,0,09-MAY-17,YES,NO
FT_CFG_MSMD,,,46,46,05-MAR-18,YES,NO
FT_CFG_MSPE,,,5,5,05-MAR-18,YES,NO
FT_CFG_MSTP,,,90,90,05-MAR-18,YES,NO
FT_CFG_PGRP,,,26,26,09-MAY-17,YES,NO
FT_CFG_PSLV,,,17,17,09-MAY-17,YES,NO
FT_CFG_PUB1,,,2105,2105,12-MAR-18,YES,NO
FT_CFG_QRDF,,,6,6,05-MAR-18,YES,NO
FT_CFG_QRDP,,,6,6,05-MAR-18,YES,NO
FT_CFG_RSMD,,,0,0,09-MAY-17,YES,NO
FT_CFG_RSRC,,,174,174,08-MAR-18,YES,NO
FT_CFG_SBDF,,,68,68,08-MAR-18,YES,NO
FT_CFG_SBDP,,,68,68,08-MAR-18,YES,NO
FT_CFG_SBEX,,,2108,2108,12-MAR-18,YES,NO
FT_CFG_SBGP,,,0,0,09-MAY-17,YES,NO
FT_CFG_SBGR,,,0,0,09-MAY-17,YES,NO
FT_CFG_SBOF,,,67,67,08-MAR-18,YES,NO
FT_CFG_SDSP,,,1,1,08-MAR-18,YES,NO
FT_CFG_VFMT,,,130,130,05-MAR-18,YES,NO
FT_CFG_VRDT,,,0,0,09-MAY-17,YES,NO
FT_CFG_VRET,,,0,0,09-MAY-17,YES,NO
FT_CFG_VRMS,,,0,0,09-MAY-17,YES,NO
FT_CFG_VRT1,,,9,9,08-MAR-18,YES,NO
FT_CFG_VRTY,,,5,5,08-MAR-18,YES,NO
FT_CFG_VSRC,,,8,8,08-MAR-18,YES,NO
FT_D_DMID,,,1,1,05-MAR-18,YES,NO
FT_ERR_ISPC,,,0,0,09-MAY-17,YES,NO
FT_EV_EVIS,,,97,97,23-FEB-18,YES,NO
FT_EV_EVOT,,,5,5,15-MAR-18,YES,NO
FT_ILOG_ILGP,,,0,0,09-MAY-17,YES,NO
FT_ILOG_ILGR,,,0,0,09-MAY-17,YES,NO
FT_ILOG_RMXG,,,0,0,09-MAY-17,YES,NO
FT_ILOG_RMXS,,,0,0,09-MAY-17,YES,NO
FT_INTRNL_MDFL,,,0,0,09-MAY-17,YES,NO
FT_INTRNL_MDOC,,,0,0,09-MAY-17,YES,NO
FT_INTRNL_MVRL,,,0,0,09-MAY-17,YES,NO
FT_LOG_LGPD,,,9975,9975,18-MAR-18,YES,NO
FT_LOG_LOGE,,,859,859,18-MAR-18,YES,NO
FT_LOG_LOGF,,,52732,52732,14-MAR-18,YES,NO
FT_LOG_LOGM,,,475,475,18-MAR-18,YES,NO
FT_MAAF_MFLG,,,0,0,05-MAR-18,YES,NO
FT_MAAF_MMTL,,,0,0,05-MAR-18,YES,NO
FT_MAAF_SCPT,,,0,0,05-MAR-18,YES,NO
FT_MV_EXP_TYP,,,0,0,09-MAY-17,YES,NO
FT_MV_TRID_STAT,,,0,0,09-MAY-17,YES,NO
FT_O_ADEL,,,0,0,09-MAY-17,YES,NO
FT_O_AHID,,,0,0,09-MAY-17,YES,NO
FT_O_ARCH,,,0,0,09-MAY-17,YES,NO
FT_O_ARCHIVE_STATS,,,0,0,09-MAY-17,YES,NO
FT_O_ARNG,,,0,0,09-MAY-17,YES,NO
FT_O_ATDC,,,0,0,09-MAY-17,YES,NO
FT_O_AUDT,,,0,0,22-FEB-18,YES,NO
FT_O_BAAI,,,0,0,09-MAY-17,YES,NO
FT_O_CAQH,,,106,106,09-MAY-17,YES,NO
FT_O_CAQP,,,1132,1132,05-MAR-18,YES,NO
FT_O_CARD,,,0,0,09-MAY-17,YES,NO
FT_O_CARQ,,,79,79,05-MAR-18,YES,NO
FT_O_CART,,,0,0,09-MAY-17,YES,NO
FT_O_CCUI,,,0,0,09-MAY-17,YES,NO
FT_O_CKLU,,,0,0,09-MAY-17,YES,NO
FT_O_CONV,,,0,0,09-MAY-17,YES,NO
FT_O_CR01,,,0,0,09-MAY-17,YES,NO
FT_O_CSUG,,,0,0,09-MAY-17,YES,NO
FT_O_DAFC,,,0,0,09-MAY-17,YES,NO
FT_O_DAFP,,,0,0,09-MAY-17,YES,NO
FT_O_DCHI,,,0,0,09-MAY-17,YES,NO
FT_O_DCPR,,,0,0,09-MAY-17,YES,NO
FT_O_DSCH,,,0,0,09-MAY-17,YES,NO
FT_O_DTAB,,,0,0,09-MAY-17,YES,NO
FT_O_DTLN,,,0,0,09-MAY-17,YES,NO
FT_O_ELCP,,,,,,NO,
FT_O_ERRL,,,,,,NO,
FT_O_EXLG,,,59040,59040,15-MAR-18,YES,NO
FT_O_FPDF,,,0,0,09-MAY-17,YES,NO
FT_O_GASB,,,0,0,09-MAY-17,YES,NO
FT_O_HKEY,,,0,0,09-MAY-17,YES,NO
FT_O_HOLD_L,,,0,0,09-MAY-17,YES,NO
FT_O_HRNG,,,0,0,09-MAY-17,YES,NO
FT_O_IABI,,,0,0,09-MAY-17,YES,NO
FT_O_ISJB,,,0,0,05-MAR-18,YES,NO
FT_O_ISPP,,,0,0,09-MAY-17,YES,NO
FT_O_LDAP,,,0,0,09-MAY-17,YES,NO
FT_O_LGIN,,,0,0,09-MAY-17,YES,NO
FT_O_LIIS,,,0,0,09-MAY-17,YES,NO
FT_O_LKEY,,,0,0,09-MAY-17,YES,NO
FT_O_LOCK,,,0,0,16-MAR-18,YES,NO
FT_O_LOTS_L,,,0,0,09-MAY-17,YES,NO
FT_O_LRNG,,,0,0,09-MAY-17,YES,NO
FT_O_MASU,,,0,0,09-MAY-17,YES,NO
FT_O_MKEY,,,1721,1721,05-MAR-18,YES,NO
FT_O_MUBP,,,0,0,09-MAY-17,YES,NO
FT_O_MUDF,,,6,6,05-MAR-18,YES,NO
FT_O_MUEX,,,0,0,09-MAY-17,YES,NO
FT_O_MUIN,,,0,0,09-MAY-17,YES,NO
FT_O_PADF,,,0,0,09-MAY-17,YES,NO
FT_O_PAGI,,,0,0,09-MAY-17,YES,NO
FT_O_PAGO,,,0,0,09-MAY-17,YES,NO
FT_O_PCAH,,,0,0,09-MAY-17,YES,NO
FT_O_PGAT,,,0,0,09-MAY-17,YES,NO
FT_O_PGDF,,,0,0,09-MAY-17,YES,NO
FT_O_PGKP,,,0,0,09-MAY-17,YES,NO
FT_O_PGPT,,,0,0,09-MAY-17,YES,NO
FT_O_PGTD,,,18,18,09-MAY-17,YES,NO
FT_O_PGTP,,,0,0,09-MAY-17,YES,NO
FT_O_PGTR,,,0,0,09-MAY-17,YES,NO
FT_O_PKEY,,,0,0,09-MAY-17,YES,NO
